gutenberg_id,text,title
1513,"[Enter Prince, with Attendants.]",Romeo and Juliet
1513,,Romeo and Juliet
1513,Prince.,Romeo and Juliet
1513,"Rebellious subjects, enemies to peace,",Romeo and Juliet
1513,"Profaners of this neighbour-stained steel,--",Romeo and Juliet
1513,"Will they not hear?--What, ho! you men, you beasts,",Romeo and Juliet
1513,That quench the fire of your pernicious rage,Romeo and Juliet
1513,"With purple fountains issuing from your veins,--",Romeo and Juliet
1513,"On pain of torture, from those bloody hands",Romeo and Juliet
1513,Throw your mistemper'd weapons to the ground,Romeo and Juliet
1513,And hear the sentence of your moved prince.--,Romeo and Juliet
1513,"Three civil brawls, bred of an airy word,",Romeo and Juliet
1513,"By thee, old Capulet, and Montague,",Romeo and Juliet
1513,Have thrice disturb'd the quiet of our streets;,Romeo and Juliet
1513,And made Verona's ancient citizens,Romeo and Juliet
1513,"Cast by their grave beseeming ornaments,",Romeo and Juliet
1513,"To wield old partisans, in hands as old,",Romeo and Juliet
1513,"Canker'd with peace, to part your canker'd hate:",Romeo and Juliet
1513,"If ever you disturb our streets again,",Romeo and Juliet
1513,Your lives shall pay the forfeit of the peace.,Romeo and Juliet
1513,"For this time, all the rest depart away:--",Romeo and Juliet
1513,"You, Capulet, shall go along with me;--",Romeo and Juliet
1513,"And, Montague, come you this afternoon,",Romeo and Juliet
1513,"To know our farther pleasure in this case,",Romeo and Juliet
1513,"To old Free-town, our common judgment-place.--",Romeo and Juliet
1513,"Once more, on pain of death, all men depart.",Romeo and Juliet
1513,,Romeo and Juliet
1513,"[Exeunt Prince and Attendants; Capulet, Lady Capulet, Tybalt,",Romeo and Juliet
1513,"Citizens, and Servants.]",Romeo and Juliet
1513,,Romeo and Juliet
1513,Montague.,Romeo and Juliet
1513,Who set this ancient quarrel new abroach?--,Romeo and Juliet
1513,"Speak, nephew, were you by when it began?",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,Here were the servants of your adversary,Romeo and Juliet
1513,"And yours, close fighting ere I did approach:",Romeo and Juliet
1513,I drew to part them: in the instant came,Romeo and Juliet
1513,"The fiery Tybalt, with his sword prepar'd;",Romeo and Juliet
1513,"Which, as he breath'd defiance to my ears,",Romeo and Juliet
1513,"He swung about his head, and cut the winds,",Romeo and Juliet
1513,"Who, nothing hurt withal, hiss'd him in scorn:",Romeo and Juliet
1513,"While we were interchanging thrusts and blows,",Romeo and Juliet
1513,"Came more and more, and fought on part and part,",Romeo and Juliet
1513,"Till the prince came, who parted either part.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Lady Montague.,Romeo and Juliet
1513,"O, where is Romeo?--saw you him to-day?--",Romeo and Juliet
1513,Right glad I am he was not at this fray.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"Madam, an hour before the worshipp'd sun",Romeo and Juliet
1513,"Peer'd forth the golden window of the east,",Romeo and Juliet
1513,A troubled mind drave me to walk abroad;,Romeo and Juliet
1513,"Where,--underneath the grove of sycamore",Romeo and Juliet
1513,"That westward rooteth from the city's side,--",Romeo and Juliet
1513,So early walking did I see your son:,Romeo and Juliet
1513,"Towards him I made; but he was ware of me,",Romeo and Juliet
1513,And stole into the covert of the wood:,Romeo and Juliet
1513,"I, measuring his affections by my own,--",Romeo and Juliet
1513,"That most are busied when they're most alone,--",Romeo and Juliet
1513,"Pursu'd my humour, not pursuing his,",Romeo and Juliet
1513,And gladly shunn'd who gladly fled from me.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Montague.,Romeo and Juliet
1513,"Many a morning hath he there been seen,",Romeo and Juliet
1513,"With tears augmenting the fresh morning's dew,",Romeo and Juliet
1513,Adding to clouds more clouds with his deep sighs:,Romeo and Juliet
1513,But all so soon as the all-cheering sun,Romeo and Juliet
